Event ID,Event Title,Category,Subcategory,Main Performer,Lineup,Exact Date,Day of Week,Start Time,Timezone,Venue Name,City,State,Full Address,Min Price ($),Max Price ($),Age Restrictions,Entry Requirements,Event URL
VV1aZ9v1001TM,Eagles: The Long Farewell Tour,Concerts,Classic Rock,Eagles,"Eagles, Steely Dan",2026-08-17,Monday,20:55:04,EST,TD Garden,Boston,MA,"100 Legends Way, Boston, MA 02114",150.0,750.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1001TM
VV1aZ9v1002TM,Metallica: M72 World Tour,Concerts,Heavy Metal,Metallica,"Metallica, Pantera, Mammoth WVH",2026-08-20,Thursday,20:55:04,EST,Madison Square Garden,New York,NY,"4 Pennsylvania Plaza, New York, NY 10001",95.0,450.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1002TM
VV1aZ9v1003TM,Taylor Swift: The Eras Tour,Concerts,Pop,Taylor Swift,"Taylor Swift, Gracie Abrams",2026-08-24,Monday,20:55:04,EST,Crypto.com Arena,Los Angeles,CA,"1111 S Figueroa St, Los Angeles, CA 90015",199.0,899.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1003TM
VV1aZ9v1004TM,Coldplay: Music of the Spheres World Tour,Concerts,Alternative Rock,Coldplay,"Coldplay, H.E.R.",2026-08-28,Friday,20:55:04,EST,Sphere,Las Vegas,NV,"255 Sands Ave, Las Vegas, NV 89109",85.0,380.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1004TM
VV1aZ9v1005TM,Drake & PartyNextDoor: It's All A Blur,Concerts,Hip-Hop/Rap,Drake,"Drake, PartyNextDoor",2026-09-01,Tuesday,20:55:04,EST,United Center,Chicago,IL,"1901 W Madison St, Chicago, IL 60612",120.0,600.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1005TM
VV1aZ9v1006TM,Billie Eilish: Hit Me Hard and Soft Tour,Concerts,Pop / Alternative,Billie Eilish,Billie Eilish,2026-09-05,Saturday,20:55:04,EST,Kaseya Center,Miami,FL,"601 Biscayne Blvd, Miami, FL 33132",75.0,320.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1006TM
VV1aZ9v1007TM,New York Knicks vs. Boston Celtics,Sports,NBA Basketball,New York Knicks,"New York Knicks, Boston Celtics",2026-08-18,Tuesday,20:55:04,EST,TD Garden,Boston,MA,"100 Legends Way, Boston, MA 02114",90.0,550.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1007TM
VV1aZ9v1008TM,Los Angeles Lakers vs. Golden State Warriors,Sports,NBA Basketball,Los Angeles Lakers,"Los Angeles Lakers, Golden State Warriors",2026-08-21,Friday,20:55:04,EST,Madison Square Garden,New York,NY,"4 Pennsylvania Plaza, New York, NY 10001",110.0,650.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1008TM
VV1aZ9v1009TM,New York Rangers vs. New Jersey Devils,Sports,NHL Hockey,New York Rangers,"New York Rangers, New Jersey Devils",2026-08-25,Tuesday,20:55:04,EST,Crypto.com Arena,Los Angeles,CA,"1111 S Figueroa St, Los Angeles, CA 90015",65.0,320.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1009TM
VV1aZ9v1010TM,WWE Monday Night RAW Live,Sports,Professional Wrestling,WWE Superstars,"WWE Superstars, Cody Rhodes, Rhea Ripley",2026-08-29,Saturday,20:55:04,EST,Sphere,Las Vegas,NV,"255 Sands Ave, Las Vegas, NV 89109",40.0,250.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1010TM
VV1aZ9v1011TM,Hamilton: An American Musical,Arts & Theater,Broadway Musical,Broadway Original Cast Ensemble,Broadway Original Cast Ensemble,2026-08-19,Wednesday,20:55:04,EST,United Center,Chicago,IL,"1901 W Madison St, Chicago, IL 60612",125.0,450.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1011TM
VV1aZ9v1012TM,Wicked: The Untold Story of the Witches of Oz,Arts & Theater,Broadway Musical,Gershwin Theatre Cast,Gershwin Theatre Cast,2026-08-23,Sunday,20:55:04,EST,Kaseya Center,Miami,FL,"601 Biscayne Blvd, Miami, FL 33132",99.0,380.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1012TM
VV1aZ9v1013TM,Bill Burr: Live Stand-up Comedy,Arts & Theater,Comedy,Bill Burr,Bill Burr,2026-08-26,Wednesday,20:55:04,EST,TD Garden,Boston,MA,"100 Legends Way, Boston, MA 02114",65.0,220.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1013TM
VV1aZ9v1014TM,The Lion King Broadway Production,Arts & Theater,Broadway Musical,Minskoff Theatre Cast,Minskoff Theatre Cast,2026-08-30,Sunday,20:55:04,EST,Madison Square Garden,New York,NY,"4 Pennsylvania Plaza, New York, NY 10001",105.0,410.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1014TM
VV1aZ9v1015TM,Disney On Ice: Magic In The Stars,Family,Children & Family,Disney On Ice Performers,Disney On Ice Performers,2026-08-22,Saturday,20:55:04,EST,Crypto.com Arena,Los Angeles,CA,"1111 S Figueroa St, Los Angeles, CA 90015",35.0,140.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1015TM
VV1aZ9v1016TM,Monster Jam World Finals,Family,Motorsports / Family,Grave Digger,"Grave Digger, Max-D, El Toro Loco",2026-09-03,Thursday,20:55:04,EST,Sphere,Las Vegas,NV,"255 Sands Ave, Las Vegas, NV 89109",30.0,120.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1016TM
VV1aZ9v1017TM,PAW Patrol Live!: Heroes Unite,Family,Children's Theater,PAW Patrol Live Performers,PAW Patrol Live Performers,2026-09-07,Monday,20:55:04,EST,United Center,Chicago,IL,"1901 W Madison St, Chicago, IL 60612",25.0,95.0,All ages welcome. Children under 2 years old do not require a separate ticket if seated on a parent lap.,"Clear bag policy strictly enforced. Professional cameras, recording devices, and outside food/beverage are prohibited.",https://www.ticketmaster.com/event/VV1aZ9v1017TM
